,연극명,기간,장소,개막일,폐막일,오픈런
83,자메이카 헬스클럽,20.04.01.~오픈런,내유외강씨어터,2020-04-01,2050-01-01,True
84,연극 <미스터얼간이> - 부산,20.04.15.~오픈런,BNK부산은행조은극장 2관,2020-04-15,2050-01-01,True
85,뷰티풀라이프 - 춘천,20.05.08.~오픈런,소극장 연극바보들,2020-05-08,2050-01-01,True
86,G급감성,20.04.15.~오픈런,별빛소극장,2020-04-15,2050-01-01,True
87,리미트,20.05.15.~오픈런,JTN 아트홀 2관,2020-05-15,2050-01-01,True
88,도고 트로트 보이즈,20.05.30.~오픈런,아산쇼타임코미디홀,2020-05-30,2050-01-01,True
89,THE 가구,20.06.19.~오픈런,해오름 예술극장,2020-06-19,2050-01-01,True
90,수상한 흥신소 2탄 - 서울,20.07.13.~오픈런,수상한흥신소전용관,2020-07-13,2050-01-01,True
91,강제 결혼,20.07.06.~오픈런,코델 아트홀,2020-07-06,2050-01-01,True
92,언플러그드,20.08.28.~오픈런,달밤엔씨어터,2020-08-28,2050-01-01,True
93,이브의선물 - 대구,20.10.23.~오픈런,대구 아트플러스씨어터,2020-10-23,2050-01-01,True
94,아마데우스,20.11.17.~21.02.14.,광림아트센터 BBCH홀,2020-11-17,2021-02-14,False
95,오 나의 귀신님 - 전주,20.11.20.~21.01.10.,한해랑아트홀,2020-11-20,2021-01-10,False
96,연애하기 좋은 날 - 부산,20.11.19.~21.01.17.,BNK부산은행조은극장 2관,2020-11-19,2021-01-17,False
97,낙원의 사람들,20.12.12.~21.01.10.,을지공간,2020-12-12,2021-01-10,False
98,백투더백,20.12.04.~오픈런,졸탄극장,2020-12-04,2050-01-01,True
99,언로맨틱코미디 〈홍대포차〉,20.12.12.~21.02.28.,별빛소극장,2020-12-12,2021-02-28,False
100,엄마의 레시피,21.01.08.~21.02.14.,드림아트센터 4관,2021-01-08,2021-02-14,False
101,돌아와요 미자씨 - 대구,20.12.11.~21.03.14.,아트벙커,2020-12-11,2021-03-14,False
102,라스낭독극장 Part.1 [우투리 : 가공할 만한],21.01.07.~21.01.10.,혜화동1번지,2021-01-07,2021-01-10,False
103,조각 : 사라진기억 - 서울,16.11.19.~오픈런,댕로홀(구. 두레홀1관),2016-11-19,2050-01-01,True
104,안나라수마나라,19.07.22.~오픈런,업스테이지,2019-07-22,2050-01-01,True
